Time (s),Accel_X (g),Accel_Y (g),Accel_Z (g),Accel_Mag (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s),Mag_X (mT),Mag_Y (mT),Mag_Z (mT),Pressure (mbar),P_Temp (C),Battery (V),time
81.98,7.61,1.42,6.16,0.083,-2.4,-1.5,1.6,-405.9,-282.9,-86.1,1000.5,20.27,3.86,81.98
81.99,7.725,1.055,6.015,0.037,-1.9,2.1,2.7,-403.5,-285.3,-84.9,1000.5,20.27,3.86,81.99
82.0,7.76,0.915,6.325,0.243,0.3,3.2,0.3,-398.7,-270.9,-90.3,1000.6,20.27,3.86,82.0
82.01,7.67,1.105,6.685,0.424,2.0,1.0,-2.6,-386.7,-282.9,-83.7,1000.6,20.28,3.86,82.01
82.02,7.5,1.445,6.78,0.403,0.6,-2.5,-2.8,-405.9,-282.9,-80.1,1000.6,20.28,3.86,82.02
82.03,7.36,1.495,6.48,0.109,-2.9,-3.9,-0.9,-389.1,-263.7,-81.3,1000.7,20.28,3.86,82.03
82.04,7.56,1.28,6.105,-0.009,-1.7,-1.7,1.0,-391.5,-275.7,-78.9,1000.7,20.28,3.86,82.04
82.05,7.79,1.05,6.155,0.174,0.8,2.1,0.7,-403.5,-268.5,-83.7,1000.6,20.28,3.86,82.05
82.06,7.805,1.03,6.49,0.393,1.1,4.1,-0.1,-410.7,-275.7,-85.5,1000.6,20.28,3.86,82.06
82.07,7.605,1.17,6.775,0.442,0.1,1.4,0.0,-396.3,-282.9,-84.3,1000.6,20.28,3.86,82.07
82.08,7.605,1.17,6.775,0.442,0.1,1.4,0.0,-396.3,-282.9,-84.3,1000.6,20.28,3.86,82.08
82.09,7.365,1.3,6.685,0.221,-0.3,-2.7,-1.9,-415.5,-275.7,-84.9,1000.6,20.28,3.86,82.09
82.1,7.46,1.455,6.385,0.117,-1.3,-3.6,-1.4,-403.5,-275.7,-83.1,1000.6,20.28,3.86,82.1
82.11,7.605,1.33,6.1,0.029,1.3,-0.1,0.7,-398.7,-273.3,-81.9,1000.6,20.28,3.86,82.11
82.12,7.865,1.145,6.15,0.239,1.7,3.6,1.0,-391.5,-266.1,-79.5,1000.5,20.28,3.86,82.12
82.13,7.67,1.015,6.425,0.247,-0.1,4.4,1.2,-405.9,-282.9,-80.7,1000.6,20.28,3.86,82.13
82.14,7.535,1.11,6.73,0.354,-0.9,1.2,-0.7,-417.9,-266.1,-81.3,1000.5,20.28,3.86,82.14
82.15,7.465,1.31,6.63,0.26,0.0,-4.2,-3.1,-403.5,-270.9,-83.7,1000.5,20.28,3.86,82.15
82.16,7.54,1.45,6.28,0.109,-0.9,-4.5,-2.3,-408.3,-278.1,-84.9,1000.6,20.28,3.86,82.16
82.17,7.58,1.38,6.09,0.011,0.6,0.3,1.4,-410.7,-261.3,-84.9,1000.5,20.28,3.86,82.17
82.18,7.71,1.225,6.27,0.203,0.0,3.7,2.2,-401.1,-268.5,-87.3,1000.6,20.28,3.86,82.18
82.19,7.54,1.08,6.56,0.242,-0.3,3.1,-0.3,-413.1,-268.5,-81.3,1000.6,20.28,3.86,82.19
82.2,7.66,1.11,6.705,0.43,0.4,-0.4,-2.1,-410.7,-275.7,-77.1,1000.6,20.28,3.86,82.2
82.21,7.55,1.245,6.54,0.256,0.0,-3.3,-2.2,-403.5,-273.3,-82.5,1000.5,20.28,3.86,82.21
82.22,7.52,1.395,6.325,0.115,-0.6,-2.4,0.0,-413.1,-275.7,-89.7,1000.6,20.28,3.86,82.22
82.23,7.54,1.33,6.19,0.036,-0.1,1.1,2.1,-391.5,-282.9,-81.9,1000.5,20.28,3.86,82.23
82.24,7.645,1.17,6.31,0.172,0.4,3.0,0.1,-410.7,-268.5,-87.9,1000.6,20.28,3.86,82.24
82.25,7.755,1.05,6.52,0.376,0.6,1.7,-1.3,-410.7,-270.9,-86.1,1000.7,20.28,3.86,82.25
82.26,7.695,1.1,6.64,0.413,0.0,-0.4,-1.2,-393.9,-273.3,-82.5,1000.5,20.28,3.86,82.26
82.27,7.45,1.29,6.595,0.223,-0.9,-2.3,-0.7,-405.9,-270.9,-80.7,1000.5,20.28,3.86,82.27
82.28,7.395,1.45,6.385,0.067,-0.6,-2.4,-0.3,-401.1,-268.5,-84.3,1000.6,20.28,3.86,82.28
82.29,7.655,1.385,6.23,0.156,1.0,0.0,-0.2,-405.9,-270.9,-81.3,1000.5,20.28,3.86,82.29
82.3,7.805,1.18,6.26,0.265,0.7,1.9,0.3,-393.9,-294.9,-78.3,1000.6,20.28,3.86,82.3
82.31,7.675,1.0,6.465,0.275,0.1,3.1,0.7,-413.1,-282.9,-81.3,1000.5,20.28,3.86,82.31
82.32,7.445,1.085,6.65,0.231,1.1,1.6,-0.1,-408.3,-273.3,-85.5,1000.6,20.28,3.86,82.32
82.33,7.415,1.405,6.65,0.249,0.6,-1.7,-1.8,-408.3,-273.3,-79.5,1000.6,20.28,3.86,82.33
82.34,7.57,1.48,6.38,0.2,-0.6,-2.6,-2.0,-396.3,-282.9,-80.1,1000.6,20.28,3.86,82.34
82.35,7.905,1.25,6.09,0.247,-2.1,-1.0,1.0,-408.3,-275.7,-87.9,1000.6,20.28,3.86,82.35
82.36,7.735,0.975,6.085,0.08,-1.4,1.4,1.5,-408.3,-273.3,-83.7,1000.5,20.28,3.86,82.36
82.37,7.505,1.03,6.505,0.175,1.2,2.7,-0.7,-425.1,-270.9,-78.9,1000.5,20.28,3.86,82.37
82.38,7.35,1.335,6.885,0.349,3.5,1.0,-2.3,-401.1,-282.9,-80.7,1000.6,20.28,3.86,82.38
82.39,7.515,1.53,6.765,0.417,-0.2,-2.0,-1.7,-408.3,-278.1,-84.3,1000.4,20.28,3.86,82.39
82.4,7.6,1.355,6.215,0.101,-3.8,-3.1,0.8,-401.1,-287.7,-81.3,1000.5,20.28,3.86,82.4
82.41,7.805,1.02,5.915,0.036,-2.7,-0.1,1.6,-410.7,-266.1,-82.5,1000.5,20.28,3.86,82.41
82.42,7.8,0.94,6.155,0.17,1.6,2.3,-0.1,-393.9,-270.9,-80.1,1000.6,20.28,3.86,82.42
82.43,7.575,1.175,6.71,0.378,2.6,2.4,-2.0,-413.1,-268.5,-83.1,1000.5,20.28,3.86,82.43
82.44,7.35,1.465,6.9,0.377,1.5,0.0,-1.7,-403.5,-273.3,-76.5,1000.6,20.28,3.86,82.44
82.45,7.415,1.46,6.655,0.26,-0.4,-2.7,-0.9,-401.1,-268.5,-78.3,1000.5,20.28,3.86,82.45
82.46,7.58,1.31,6.115,0.017,-2.9,-2.1,0.9,-408.3,-273.3,-90.3,1000.6,20.28,3.86,82.46
82.47,7.815,1.06,5.96,0.075,-0.1,1.5,1.4,-391.5,-278.1,-83.7,1000.5,20.28,3.86,82.47
82.48,7.84,1.05,6.3,0.302,1.7,3.5,0.2,-408.3,-268.5,-75.9,1000.5,20.28,3.86,82.48
82.49,7.595,1.13,6.71,0.387,2.4,2.1,-1.5,-401.1,-275.7,-88.5,1000.5,20.28,3.86,82.49
82.5,7.445,1.345,6.73,0.316,-1.0,-1.7,-1.1,-396.3,-268.5,-80.1,1000.6,20.28,3.86,82.5
82.51,7.43,1.395,6.39,0.089,-1.4,-4.1,-0.5,-401.1,-270.9,-85.5,1000.6,20.27,3.86,82.51
82.52,7.495,1.375,6.145,-0.021,-1.2,-1.0,-0.3,-391.5,-273.3,-79.5,1000.7,20.27,3.86,82.52
82.53,7.655,1.285,6.29,0.181,2.0,3.5,0.6,-398.7,-273.3,-84.3,1000.6,20.27,3.86,82.53
82.54,7.775,1.21,6.54,0.422,1.5,3.7,0.4,-403.5,-268.5,-89.7,1000.6,20.27,3.86,82.54
82.55,7.69,1.07,6.55,0.348,-0.3,-1.0,-0.9,-408.3,-266.1,-86.7,1000.5,20.27,3.86,82.55
82.56,7.57,1.015,6.385,0.145,-1.9,-2.7,-1.4,-396.3,-268.5,-84.3,1000.5,20.27,3.86,82.56
82.57,7.565,1.145,6.375,0.149,0.9,-0.8,-0.1,-398.7,-278.1,-81.3,1000.6,20.27,3.86,82.57
82.58,7.555,1.405,6.45,0.223,-0.1,0.5,0.3,-405.9,-282.9,-85.5,1000.6,20.27,3.86,82.58
82.59,7.465,1.42,6.485,0.18,0.3,0.6,-0.4,-408.3,-270.9,-81.3,1000.6,20.27,3.86,82.59
82.6,7.62,1.37,6.525,0.315,0.2,0.9,-0.7,-413.1,-268.5,-84.3,1000.6,20.27,3.86,82.6
82.61,7.79,1.06,6.435,0.35,-0.7,-0.6,-0.1,-391.5,-282.9,-81.3,1000.7,20.27,3.86,82.61
82.62,7.69,0.93,6.305,0.178,-0.3,-1.1,-0.3,-413.1,-275.7,-88.5,1000.6,20.27,3.86,82.62
82.63,7.525,1.155,6.41,0.142,0.4,0.6,-0.1,-401.1,-278.1,-90.9,1000.5,20.27,3.86,82.63
82.64,7.41,1.445,6.56,0.191,1.6,2.0,-0.1,-413.1,-275.7,-84.9,1000.6,20.27,3.86,82.64
82.65,7.55,1.555,6.52,0.286,-0.3,0.7,-0.9,-410.7,-278.1,-86.7,1000.5,20.27,3.86,82.65
82.66,7.74,1.275,6.34,0.276,-0.6,-1.8,-0.7,-410.7,-275.7,-76.5,1000.6,20.27,3.86,82.66
82.67,7.78,0.97,6.195,0.182,-0.9,-0.9,-0.1,-391.5,-282.9,-86.7,1000.6,20.27,3.86,82.67
82.68,7.65,0.955,6.375,0.194,1.4,1.7,0.4,-415.5,-268.5,-81.9,1000.5,20.27,3.86,82.68
82.69,7.475,1.295,6.675,0.295,1.2,2.0,-0.4,-420.3,-268.5,-87.9,1000.6,20.27,3.86,82.69
82.7,7.39,1.535,6.655,0.253,-0.7,-0.7,-1.0,-405.9,-287.7,-79.5,1000.6,20.27,3.86,82.7
82.71,7.54,1.48,6.365,0.168,-1.3,-1.9,-0.9,-415.5,-278.1,-86.7,1000.5,20.27,3.86,82.71
82.72,7.735,1.16,6.135,0.131,0.0,0.0,-0.3,-413.1,-268.5,-86.7,1000.7,20.27,3.86,82.72
82.73,7.86,0.92,6.22,0.256,-0.1,1.2,0.9,-384.3,-287.7,-77.1,1000.6,20.27,3.86,82.73
82.74,7.69,0.895,6.515,0.308,0.0,1.1,-0.2,-393.9,-270.9,-78.9,1000.6,20.27,3.86,82.74
82.75,7.445,1.25,6.765,0.327,-0.2,-0.7,-1.5,-396.3,-280.5,-82.5,1000.5,20.27,3.86,82.75
82.76,7.365,1.535,6.64,0.224,-0.1,-1.6,-1.7,-398.7,-275.7,-81.3,1000.5,20.27,3.86,82.76
82.77,7.52,1.575,6.295,0.123,-0.7,-1.2,0.0,-405.9,-270.9,-81.3,1000.5,20.27,3.86,82.77
82.78,7.685,1.27,6.05,0.053,-0.1,0.0,1.2,-405.9,-285.3,-84.3,1000.6,20.27,3.86,82.78
82.79,7.73,0.94,6.22,0.156,1.7,2.6,0.5,-408.3,-268.5,-79.5,1000.7,20.27,3.86,82.79
82.8,7.805,0.915,6.67,0.497,2.7,3.5,0.1,-398.7,-278.1,-78.9,1000.6,20.27,3.86,82.8
82.81,7.58,1.185,6.815,0.452,-1.3,0.3,-0.6,-396.3,-266.1,-80.7,1000.5,20.27,3.86,82.81
82.82,7.365,1.46,6.475,0.105,-2.8,-4.0,-1.1,-393.9,-261.3,-84.3,1000.5,20.27,3.86,82.82
82.83,7.455,1.51,6.115,-0.05,0.0,-3.1,-1.5,-401.1,-275.7,-80.7,1000.5,20.27,3.86,82.83
82.84,7.66,1.33,6.14,0.097,2.8,1.6,-0.5,-408.3,-275.7,-83.1,1000.6,20.27,3.86,82.84
82.85,7.905,1.05,6.445,0.443,0.6,3.9,1.6,-413.1,-273.3,-84.3,1000.5,20.27,3.86,82.85
82.86,7.745,0.845,6.61,0.407,-2.1,1.4,0.9,-413.1,-287.7,-81.3,1000.5,20.27,3.86,82.86
82.87,7.505,1.065,6.63,0.261,-2.1,-1.7,-1.9,-408.3,-278.1,-79.5,1000.6,20.27,3.86,82.87
82.88,7.32,1.525,6.53,0.117,1.3,-2.1,-2.3,-415.5,-268.5,-84.9,1000.5,20.27,3.86,82.88
82.89,7.535,1.69,6.38,0.207,0.4,-0.4,-1.0,-401.1,-280.5,-86.1,1000.5,20.27,3.86,82.89
82.9,7.715,1.36,6.205,0.184,0.3,-0.6,0.7,-393.9,-278.1,-84.9,1000.5,20.27,3.86,82.9
82.91,7.735,0.935,6.225,0.163,-0.9,1.8,0.7,-410.7,-273.3,-88.5,1000.6,20.27,3.86,82.91
82.92,7.67,0.805,6.57,0.321,1.7,3.7,0.5,-398.7,-273.3,-85.5,1000.6,20.27,3.86,82.92
82.93,7.69,1.13,6.77,0.498,0.0,0.9,-0.7,-396.3,-292.5,-82.5,1000.5,20.27,3.86,82.93
82.94,7.36,1.5,6.525,0.14,-1.4,-3.1,-1.7,-405.9,-273.3,-84.3,1000.5,20.27,3.86,82.94
82.95,7.455,1.58,6.2,0.014,-1.2,-2.9,-1.6,-398.7,-270.9,-88.5,1000.5,20.27,3.86,82.95
82.96,7.775,1.31,6.115,0.168,1.4,0.1,-0.3,-398.7,-275.7,-77.1,1000.5,20.27,3.86,82.96
82.97,7.83,0.93,6.315,0.292,0.7,2.3,0.7,-391.5,-292.5,-85.5,1000.5,20.27,3.86,82.97
82.98,7.83,0.93,6.315,0.292,0.7,2.3,0.7,-391.5,-292.5,-85.5,1000.5,20.27,3.86,82.98
82.99,7.605,0.875,6.57,0.278,-1.6,2.5,1.1,-410.7,-268.5,-92.7,1000.5,20.27,3.86,82.99
83.0,7.445,1.585,6.66,0.304,0.9,-1.7,-2.7,-405.9,-270.9,-83.7,1000.5,20.27,3.86,83.0
83.01,7.445,1.585,6.66,0.304,0.9,-1.7,-2.7,-405.9,-270.9,-83.7,1000.5,20.28,3.86,83.01
83.02,7.57,1.56,6.21,0.105,-1.9,-2.8,-0.8,-398.7,-273.3,-80.7,1000.7,20.28,3.86,83.02
83.03,7.865,1.175,6.03,0.17,-1.8,-1.4,1.2,-408.3,-268.5,-80.7,1000.6,20.28,3.86,83.03
83.04,7.715,0.85,6.195,0.121,0.8,1.8,0.5,-401.1,-278.1,-83.7,1000.6,20.28,3.86,83.04
83.05,7.56,1.01,6.725,0.359,1.8,4.6,-0.1,-401.1,-263.7,-78.3,1000.6,20.28,3.86,83.05
83.06,7.405,1.355,6.885,0.392,1.7,1.3,-0.6,-396.3,-268.5,-86.7,1000.6,20.28,3.86,83.06
83.07,7.585,1.56,6.545,0.329,-2.0,-3.6,-1.6,-401.1,-268.5,-83.7,1000.5,20.28,3.86,83.07
83.08,7.505,1.39,6.03,-0.083,-1.8,-3.4,-0.6,-413.1,-280.5,-84.3,1000.5,20.28,3.86,83.08
83.09,7.805,1.1,6.085,0.148,0.6,1.0,1.0,-408.3,-285.3,-81.3,1000.6,20.28,3.86,83.09
83.1,7.75,0.975,6.455,0.323,1.9,3.1,0.0,-415.5,-282.9,-86.7,1000.6,20.28,3.86,83.1
83.11,7.58,1.07,6.735,0.386,1.0,2.0,-0.9,-393.9,-270.9,-84.9,1000.6,20.28,3.86,83.11
83.12,7.39,1.38,6.73,0.28,0.0,-0.3,-0.8,-398.7,-268.5,-84.9,1000.6,20.28,3.86,83.12
83.13,7.52,1.485,6.475,0.224,0.0,-2.0,-1.4,-408.3,-278.1,-81.9,1000.6,20.28,3.86,83.13
83.14,7.635,1.415,6.13,0.083,-2.5,-1.5,-0.1,-405.9,-275.7,-84.3,1000.6,20.28,3.86,83.14
83.15,7.845,1.07,6.125,0.2,0.0,0.7,1.7,-398.7,-275.7,-77.7,1000.6,20.28,3.86,83.15
83.16,7.755,0.95,6.42,0.302,1.7,2.2,0.0,-405.9,-261.3,-84.9,1000.6,20.28,3.86,83.16
83.17,7.525,1.095,6.685,0.315,2.1,1.8,-1.5,-410.7,-266.1,-81.3,1000.5,20.28,3.86,83.17
83.18,7.395,1.425,6.73,0.29,-0.8,-0.1,-0.4,-405.9,-268.5,-84.3,1000.6,20.28,3.86,83.18
83.19,7.435,1.51,6.395,0.112,-2.3,-2.8,-0.7,-408.3,-280.5,-84.3,1000.6,20.28,3.86,83.19
83.2,7.55,1.36,6.125,0.007,-0.8,-1.8,-0.7,-403.5,-275.7,-87.3,1000.5,20.28,3.86,83.2
83.21,7.79,1.075,6.215,0.213,1.4,2.1,0.4,-403.5,-266.1,-84.9,1000.7,20.28,3.86,83.21
83.22,7.915,0.915,6.465,0.451,0.5,1.8,0.2,-401.1,-275.7,-77.1,1000.5,20.28,3.86,83.22
83.23,7.58,1.005,6.56,0.265,-1.3,-0.7,-1.3,-408.3,-275.7,-83.7,1000.5,20.28,3.86,83.23
83.24,7.34,1.31,6.64,0.174,-0.7,-0.8,-1.7,-393.9,-280.5,-88.5,1000.6,20.28,3.86,83.24
83.25,7.475,1.545,6.57,0.261,0.5,-0.9,-0.9,-403.5,-282.9,-85.5,1000.6,20.28,3.86,83.25
83.26,7.605,1.515,6.235,0.14,-1.0,-1.3,0.3,-401.1,-270.9,-86.1,1000.6,20.28,3.86,83.26
83.27,7.78,1.205,6.115,0.159,1.1,0.6,1.0,-391.5,-268.5,-75.3,1000.6,20.28,3.86,83.27
83.28,7.77,0.965,6.345,0.268,1.4,3.4,0.4,-396.3,-278.1,-80.7,1000.5,20.28,3.86,83.28
83.29,7.6,1.015,6.645,0.336,0.9,2.8,0.0,-389.1,-278.1,-83.7,1000.6,20.28,3.86,83.29
83.3,7.44,1.27,6.66,0.256,-1.0,-1.2,-1.2,-396.3,-278.1,-84.3,1000.6,20.28,3.86,83.3
83.31,7.415,1.525,6.435,0.126,-0.5,-3.3,-1.5,-405.9,-261.3,-84.9,1000.5,20.28,3.86,83.31
83.32,7.53,1.48,6.22,0.068,1.4,-0.9,-0.7,-417.9,-282.9,-84.3,1000.6,20.28,3.86,83.32
83.33,7.85,1.24,6.27,0.313,0.1,1.7,1.1,-408.3,-273.3,-77.1,1000.6,20.28,3.86,83.33
83.34,7.755,0.905,6.39,0.279,-0.8,1.2,0.3,-401.1,-280.5,-87.3,1000.6,20.28,3.86,83.34
83.35,7.59,0.955,6.595,0.29,-0.5,0.1,-1.3,-413.1,-282.9,-83.7,1000.5,20.28,3.86,83.35
83.36,7.32,1.29,6.695,0.193,1.7,0.3,-2.0,-396.3,-285.3,-78.9,1000.6,20.28,3.86,83.36
83.37,7.54,1.595,6.54,0.298,0.1,-1.6,-0.4,-403.5,-275.7,-81.9,1000.5,20.28,3.86,83.37
83.38,7.665,1.435,6.135,0.112,-2.3,-2.3,0.6,-398.7,-266.1,-89.7,1000.6,20.28,3.86,83.38
83.39,7.755,1.09,6.02,0.068,-0.2,0.3,0.4,-405.9,-278.1,-82.5,1000.6,20.28,3.86,83.39
83.4,7.78,0.935,6.475,0.355,2.7,3.7,0.0,-398.7,-275.7,-83.7,1000.6,20.28,3.86,83.4
83.41,7.47,1.115,6.835,0.376,0.4,3.1,-0.6,-413.1,-270.9,-89.1,1000.6,20.28,3.86,83.41
83.42,7.35,1.4,6.715,0.244,-0.4,-1.8,-1.3,-403.5,-275.7,-86.7,1000.5,20.28,3.86,83.42
83.43,7.54,1.525,6.3,0.133,-1.7,-4.0,-1.5,-403.5,-278.1,-80.1,1000.5,20.28,3.86,83.43
83.44,7.745,1.33,6.015,0.086,0.6,-1.0,0.0,-398.7,-278.1,-81.9,1000.5,20.28,3.86,83.44
83.45,7.845,1.015,6.12,0.191,-0.1,2.6,1.6,-408.3,-270.9,-88.5,1000.6,20.28,3.86,83.45
83.46,7.69,0.985,6.535,0.33,0.3,2.8,0.9,-401.1,-266.1,-77.7,1000.5,20.28,3.86,83.46
83.47,7.355,1.145,6.81,0.279,0.9,1.2,-2.1,-391.5,-270.9,-84.3,1000.5,20.28,3.86,83.47
83.48,7.405,1.475,6.74,0.311,0.1,-2.0,-2.4,-420.3,-290.1,-83.1,1000.5,20.28,3.86,83.48
83.49,7.58,1.465,6.265,0.132,-2.5,-3.7,-0.4,-408.3,-266.1,-84.9,1000.6,20.28,3.86,83.49
83.5,7.75,1.275,5.93,0.031,-2.7,-1.7,1.1,-398.7,-275.7,-86.1,1000.5,20.28,3.86,83.5
83.51,7.785,1.025,6.105,0.136,2.0,2.7,0.5,-401.1,-282.9,-77.7,1000.4,20.28,3.86,83.51
83.52,7.63,1.075,6.715,0.411,3.2,4.6,-0.3,-401.1,-263.7,-81.9,1000.7,20.28,3.86,83.52
83.53,7.375,1.275,6.925,0.387,0.5,1.2,-1.2,-384.3,-270.9,-87.3,1000.6,20.28,3.86,83.53
83.54,7.42,1.44,6.59,0.218,-2.1,-3.5,-1.2,-372.3,-278.1,-84.3,1000.6,20.28,3.86,83.54
83.55,7.58,1.34,6.1,0.012,-0.5,-3.5,-0.6,-396.3,-282.9,-87.9,1000.6,20.28,3.86,83.55
83.56,7.885,1.255,6.085,0.229,0.1,1.0,0.5,-391.5,-266.1,-77.1,1000.6,20.28,3.86,83.56
83.57,7.735,1.065,6.325,0.238,1.2,3.8,1.7,-393.9,-275.7,-80.7,1000.6,20.28,3.86,83.57
83.58,7.55,1.085,6.62,0.29,0.0,2.1,0.2,-396.3,-266.1,-84.9,1000.5,20.28,3.86,83.58
83.59,7.325,1.24,6.73,0.214,0.8,-1.1,-2.7,-413.1,-278.1,-84.3,1000.6,20.28,3.86,83.59
83.6,7.51,1.385,6.565,0.261,0.1,-2.3,-2.5,-393.9,-273.3,-88.5,1000.5,20.28,3.86,83.6
83.61,7.745,1.355,6.285,0.256,-0.5,-2.0,0.0,-415.5,-268.5,-76.5,1000.5,20.28,3.86,83.61
83.62,7.795,1.23,6.125,0.18,-2.5,0.3,1.7,-396.3,-273.3,-82.5,1000.5,20.28,3.86,83.62
83.63,7.575,1.065,6.22,0.049,0.7,2.4,1.4,-393.9,-275.7,-85.5,1000.6,20.28,3.86,83.63
83.64,7.595,1.115,6.615,0.323,2.4,2.5,-0.9,-405.9,-270.9,-83.7,1000.5,20.28,3.86,83.64
83.65,7.47,1.215,6.72,0.311,0.2,-0.7,-1.8,-408.3,-268.5,-86.1,1000.5,20.28,3.86,83.65
83.66,7.475,1.295,6.49,0.174,-0.9,-2.9,-0.7,-391.5,-270.9,-76.5,1000.5,20.28,3.86,83.66
83.67,7.6,1.415,6.27,0.144,-0.9,-0.9,-0.4,-393.9,-270.9,-81.3,1000.5,20.28,3.86,83.67
83.68,7.775,1.315,6.26,0.258,1.4,1.3,0.0,-413.1,-278.1,-82.5,1000.7,20.28,3.86,83.68
83.69,7.765,1.16,6.365,0.297,-1.9,1.4,1.4,-410.7,-266.1,-83.1,1000.6,20.28,3.86,83.69
83.7,7.56,0.98,6.435,0.166,-0.9,-0.5,-0.3,-415.5,-273.3,-83.7,1000.6,20.28,3.86,83.7
83.71,7.41,1.135,6.56,0.151,2.4,-0.6,-2.9,-396.3,-273.3,-87.9,1000.6,20.28,3.86,83.71
83.72,7.465,1.435,6.675,0.306,2.9,1.3,-1.9,-413.1,-263.7,-87.3,1000.5,20.28,3.86,83.72
83.73,7.715,1.535,6.505,0.397,-0.7,0.2,0.6,-417.9,-270.9,-84.3,1000.5,20.28,3.86,83.73
83.74,7.775,1.24,6.11,0.156,-3.2,-2.0,1.5,-396.3,-263.7,-92.7,1000.5,20.28,3.86,83.74
83.75,7.69,0.965,6.07,0.034,-2.4,0.2,1.0,-403.5,-278.1,-78.3,1000.5,20.28,3.86,83.75
83.76,7.49,0.94,6.45,0.119,3.5,3.1,-0.6,-405.9,-268.5,-89.1,1000.6,20.28,3.86,83.76
83.77,7.5,1.345,6.795,0.399,3.2,1.5,-2.1,-410.7,-275.7,-83.7,1000.6,20.28,3.86,83.77
83.78,7.47,1.515,6.66,0.312,0.3,-1.8,-2.0,-405.9,-275.7,-87.9,1000.5,20.28,3.86,83.78
83.79,7.52,1.385,6.295,0.094,-3.0,-2.6,-0.3,-398.7,-261.3,-81.3,1000.5,20.28,3.86,83.79
83.8,7.795,1.17,6.11,0.163,-2.4,-0.4,1.4,-413.1,-278.1,-89.1,1000.6,20.28,3.86,83.8
83.81,7.795,0.975,6.21,0.204,-0.4,1.8,0.9,-396.3,-275.7,-83.1,1000.5,20.28,3.86,83.81
83.82,7.61,1.045,6.465,0.23,0.9,1.1,-0.4,-410.7,-275.7,-87.9,1000.5,20.28,3.86,83.82
83.83,7.41,1.29,6.72,0.276,2.2,-0.3,-1.7,-396.3,-275.7,-79.5,1000.4,20.28,3.86,83.83
83.84,7.385,1.46,6.725,0.284,1.8,-0.6,-2.0,-420.3,-263.7,-81.3,1000.5,20.28,3.86,83.84
83.85,7.515,1.46,6.445,0.197,-2.3,-0.9,-0.3,-410.7,-268.5,-85.5,1000.5,20.28,3.86,83.85
83.86,7.775,1.265,6.105,0.156,-2.7,-0.7,1.7,-405.9,-270.9,-83.1,1000.6,20.28,3.86,83.86
83.87,7.85,0.945,6.075,0.161,-0.1,1.0,0.7,-396.3,-278.1,-81.9,1000.6,20.28,3.86,83.87
83.88,7.85,0.945,6.075,0.161,-0.1,1.0,0.7,-396.3,-278.1,-81.9,1000.5,20.28,3.86,83.88
83.89,7.73,0.905,6.415,0.276,0.5,1.7,0.0,-415.5,-270.9,-83.7,1000.5,20.28,3.86,83.89
83.9,7.43,1.1,6.72,0.268,2.6,0.6,-1.1,-401.1,-268.5,-87.9,1000.6,20.28,3.86,83.9
83.91,7.375,1.535,6.785,0.328,2.0,-1.2,-2.5,-410.7,-275.7,-90.3,1000.5,20.28,3.86,83.91
83.92,7.39,1.655,6.51,0.177,0.9,-0.9,-1.9,-413.1,-263.7,-86.7,1000.7,20.28,3.86,83.92
83.93,7.68,1.45,6.23,0.185,-1.3,0.4,1.6,-410.7,-273.3,-83.1,1000.5,20.28,3.86,83.93
83.94,7.815,1.005,6.12,0.167,-2.9,0.8,2.8,-405.9,-268.5,-86.7,1000.6,20.28,3.86,83.94
83.95,7.76,0.745,6.21,0.157,-1.8,0.3,0.5,-401.1,-275.7,-87.3,1000.6,20.28,3.86,83.95
83.96,7.575,0.94,6.545,0.245,4.0,1.8,-1.8,-398.7,-273.3,-83.7,1000.6,20.28,3.86,83.96
83.97,7.55,1.465,6.875,0.506,2.8,1.0,-3.1,-417.9,-270.9,-80.7,1000.5,20.28,3.86,83.97
83.98,7.475,1.625,6.595,0.29,0.2,-3.1,-1.7,-405.9,-278.1,-84.3,1000.6,20.28,3.86,83.98
83.99,7.53,1.475,6.185,0.045,-4.0,-3.1,0.4,-396.3,-270.9,-87.3,1000.6,20.28,3.86,83.99
84.0,7.78,0.805,6.38,0.284,0.0,3.4,1.0,-410.7,-280.5,-84.3,1000.5,20.28,3.86,84.0
84.01,7.78,0.805,6.38,0.284,0.0,3.4,1.0,-410.7,-280.5,-84.3,1000.5,20.27,3.86,84.01
84.02,7.625,1.015,6.73,0.411,1.6,2.3,-1.1,-410.7,-275.7,-80.7,1000.6,20.27,3.86,84.02
84.03,7.455,1.4,6.815,0.387,2.4,-0.7,-2.9,-396.3,-280.5,-80.1,1000.6,20.27,3.86,84.03
84.04,7.465,1.62,6.515,0.23,0.5,-2.6,-1.8,-408.3,-273.3,-83.7,1000.6,20.27,3.86,84.04
84.05,7.615,1.435,6.13,0.071,-2.8,-1.7,0.9,-396.3,-275.7,-85.5,1000.5,20.27,3.86,84.05
84.06,7.7,1.015,6.055,0.038,-2.3,0.6,2.0,-398.7,-275.7,-78.3,1000.6,20.27,3.86,84.06
84.07,7.73,0.825,6.345,0.225,0.1,2.6,0.7,-413.1,-275.7,-86.1,1000.6,20.27,3.86,84.07
84.08,7.52,1.02,6.77,0.36,3.6,3.6,-1.3,-413.1,-270.9,-84.3,1000.7,20.27,3.86,84.08
