Time (s),Accel_X (g),Accel_Y (g),Accel_Z (g),Accel_Mag (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s),Mag_X (mT),Mag_Y (mT),Mag_Z (mT),Pressure (mbar),P_Temp (C),Battery (V),time
0.64,-7.64,-3.31,-3.89,-0.62,-72.4,16.9,-21.8,-12.3,-201.3,-52.5,1000.0,20.24,3.9,0.64
0.65,-5.91,-4.45,-2.205,-2.09,-38.4,27.1,-26.4,-19.5,-191.7,-49.5,999.8,20.24,3.9,0.65
0.66,-7.49,-4.415,-2.2,-0.842,-30.9,13.4,-43.0,-17.1,-194.1,-46.5,999.8,20.24,3.9,0.66
0.67,-7.24,-4.005,-3.735,-0.732,1.8,-7.1,-70.7,-12.3,-194.1,-42.3,999.8,20.24,3.9,0.67
0.68,-7.24,-4.505,-3.99,-0.396,61.8,-23.1,-90.3,-19.5,-189.3,-45.3,999.9,20.24,3.9,0.68
0.69,-8.225,-4.12,-4.59,0.471,77.3,-21.4,-96.4,-17.1,-191.7,-50.1,999.7,20.24,3.9,0.69
0.7,-8.685,-3.345,-5.025,0.767,57.3,-5.1,-84.2,-24.3,-184.5,-50.7,999.7,20.24,3.9,0.7
0.71,-8.145,-3.48,-5.045,0.383,25.4,14.0,-59.5,-7.5,-172.5,-52.5,999.7,20.24,3.9,0.71
0.72,-7.865,-4.33,-4.485,0.226,-20.6,29.3,-35.7,-14.7,-184.5,-46.5,999.7,20.24,3.9,0.72
0.73,-7.795,-4.47,-4.015,0.032,-53.4,24.2,-21.9,-17.1,-177.3,-45.9,999.7,20.24,3.9,0.73
0.74,-7.62,-4.45,-3.96,-0.138,-46.6,15.1,-11.8,-31.5,-165.3,-51.3,999.8,20.24,3.9,0.74
0.75,-7.58,-4.525,-4.08,-0.085,-41.4,14.4,3.6,-17.1,-174.9,-49.5,999.8,20.24,3.9,0.75
0.76,-8.07,-3.9,-4.355,0.155,-48.4,14.5,11.8,-31.5,-189.3,-48.3,999.7,20.24,3.9,0.76
0.77,-8.27,-3.34,-4.635,0.241,-31.5,22.3,1.9,-31.5,-174.9,-46.5,999.9,20.24,3.9,0.77
0.78,-7.285,-3.715,-4.605,-0.425,16.7,31.7,3.4,-9.9,-170.1,-41.1,999.9,20.24,3.9,0.78
0.79,-7.375,-4.215,-4.295,-0.291,42.1,24.9,19.3,-17.1,-182.1,-42.3,999.7,20.24,3.9,0.79
0.8,-7.39,-4.42,-4.145,-0.253,38.7,14.1,19.8,-21.9,-172.5,-42.9,999.9,20.24,3.9,0.8
0.81,-7.575,-4.24,-4.035,-0.237,36.6,9.0,9.6,-21.9,-182.1,-43.5,999.8,20.24,3.9,0.81
0.82,-7.835,-4.265,-4.16,0.033,37.4,8.7,4.3,-14.7,-172.5,-49.5,999.7,20.24,3.89,0.82
0.83,-7.605,-4.875,-4.08,0.102,17.8,10.1,2.4,-19.5,-182.1,-49.5,999.9,20.24,3.89,0.83
0.84,-7.39,-4.9,-3.855,-0.141,-14.7,10.6,3.7,-17.1,-186.9,-45.3,999.8,20.24,3.89,0.84
0.85,-7.24,-4.28,-3.7,-0.622,-16.9,12.9,6.5,-21.9,-165.3,-44.1,999.8,20.24,3.89,0.85
0.86,-7.51,-4.22,-4.03,-0.3,1.7,17.2,10.3,-31.5,-167.7,-42.9,999.9,20.24,3.89,0.86
0.87,-7.66,-4.425,-3.945,-0.124,7.1,22.1,8.0,-21.9,-172.5,-45.9,999.8,20.24,3.89,0.87
